Topic,Count,Name,Representation,Representative_Docs
-1,27711,人名|一个|中国|我们,"['人名', '一个', '中国', '我们', '自己', '工作', '什么', '这个', '发展', '没有']","['每日一笑看到新英雄第一眼我就知道,那个男人他回来了','制造,科技开发,应用研究,运行管理和经营销售等方面工作的高级工程','优秀企业展示平台产品消费科普平台技术装备推广平台行业资讯发布平台']"
0,1495,治疗|手术|患者|身体,"['治疗', '手术', '患者', '身体', '食物', '症状', '医生', '健康', '宝宝', '饮食']","['水果中含有人体所需的多种维生素,既能为孕妈补充营养,又对皮肤有','之后患者病情稳定,未进行手术治疗.','对于血液病患者,特别是血液肿瘤患者,治疗中常用的抗肿瘤药物是导致']"
1,1478,球队|比赛|球员|奥运会,"['球队', '比赛', '球员', '奥运会', '冠军', '赛季', '女排', '奥运', '球迷', '足球']","['本赛季甲骨文球场将是勇士最后一个赛季使用的主场,下赛季勇士','nba新赛季结束,球队不能聚集性训练,一个人的篮球有意义吗?','目前中超联赛已经结束了第一阶段的比赛,本赛季的中超联赛在限薪令和']"
2,956,网友|曝光|人名|明星,"['网友', '曝光', '人名', '明星', '女星', '美女', '组图', '近照', '古装', '身材']","['女明星的素颜照片到底是真是假?不化妆原来也能上封面','人名29岁女儿近照曝光貌似tvb杨怡','人名人名杨幂人名郑爽女星古装合照谁被艳压']"
3,567,标题|ppt|苗家|背上,"['标题', 'ppt', '苗家', '背上', '人名', '收下', '优品', 'jpg', '女人', '03']","['cc重要识点复知','标题海岛朝霞','标题过军渡']"
4,483,suv|全新|上市|奔驰,"['suv', '全新', '上市', '奔驰', '试驾', '车展', '丰田', '大众', '实拍', '车型']","['宝马2019款报价多少钱优惠惊喜促销售全国','动力提升内饰质感升级吉利新远景suv实拍解析','2020款加版奔驰gls450现车价格豪华suv']"
5,437,书法|艺术|作品|欣赏,"['书法', '艺术', '作品', '欣赏', '国画', '书画', '旧书网', '画家', '作品展', '美术馆']","['人名隶书字帖欣赏人名隶书杜甫诗选书法字帖图片20张','著名书法名家人名书法艺术欣赏','中国当代最具收藏价值的书画家人名作品欣赏']"
6,418,民警|警方|男子|犯罪,"['民警', '警方', '男子', '犯罪', '嫌疑人', '宣判', '涉嫌', '事故', '涉案', '身亡']","['目前,26名犯罪嫌疑人已被刑事拘留,案件正在进一步侦办当中.','黄山警方征集这个犯罪团伙违法犯罪线索.附9个犯罪嫌疑人照片.','8月18号,嫌疑人张某被开发区警方依法刑事拘留,案件']"
7,367,搭配|穿搭|优雅|时髦,"['搭配', '穿搭', '优雅', '时髦', '牛仔裤', '黑色', '白色', '流行', '紧身', '时尚']","['真正精致的女人穿衣都懂这几个搭配思路显优雅又有气质','白色衬衣搭配一条简单的牛仔裤,就这样简单的搭配也穿出时尚大牌的','黑色条纹衫搭配黑色短裤,同色系搭配起来又显瘦又精神,很适合微胖的']"
8,331,皇帝|曹操|刘备|三国,"['皇帝', '曹操', '刘备', '三国', '关羽', '诸葛亮', '乾隆', '大臣', '名将', '赵云']","['孙权偷袭荆州前,关羽曾收过曹操密信,可惜关羽当时犹豫了','在汉中之战,曹操虽然没能打败刘备,但是曹操却做了几件大事情,不但','清朝皇帝酷爱钟表收藏,顺治,康熙,乾隆三位皇帝尤甚.']"
9,318,装修|空间|客厅|阳台,"['装修', '空间', '客厅', '阳台', '厨房', '墙面', '搭配', '风格', '吊顶', '收纳']","['装过的都笑了.装修达人装修','首页家居装修正文外墙为实木,瓷砖为欧式.它是一种装修风格.','电视背景墙是客厅里最重要的地方之一了,整个家庭装修氛围都是让人']"
10,316,王者|荣耀|英雄|游戏,"['王者', '荣耀', '英雄', '游戏', '攻略', '手游', '皮肤', '玩家', '联盟', '技能']","['王者荣耀荣耀水晶最值得兑换的3款皮肤,图5深受女玩家喜欢.','王者荣耀中的微信界面','王者荣耀关羽新皮肤王者荣耀kpl英雄被ban次']"
11,312,人生|自己|永远|别人,"['人生', '自己', '永远', '别人', '生活', '做事', '努力', '相信', '因为', '希望']","['人生若皆如初见遇见美好','每个人都想好好经营自己的爱情,人生若只如初见,我不是情感专家,却','它在不断提醒我们,关爱自己,努力生活.一切都要靠自己.']"
12,293,指数|震荡|股市|a股,"['指数', '震荡', '股市', 'a股', '下跌', '反弹', '走势', '行情', '股价', '上涨']","['川普胜选后股市这几天美股大中小盘指数和纳斯达克指数走势,这一两天','美股行情小幅上涨纳斯达克指数创历史新高','周三指数及板块走势情况']"
13,272,新款|短袖|女装|外套,"['新款', '短袖', '女装', '外套', '修身', '韩版', '宽松', '长袖', '大码', '男士']","['2012冬季新款韩版气质修身中长款风衣外套显气质女装','夏季新款男士烫钻t恤时尚潮流圆领短袖青年韩版套头半袖休闲男装','2014秋冬新款女装长袖拼接加绒卫衣女套头韩版圆领修身学生外套潮']"
14,259,航母|海军|空军|战机,"['航母', '海军', '空军', '战机', '战斗机', '军事', '直升机', '坦克', '轰炸机', '美军']","['海军航母舰军事634421','海军航母舰军事554298','海军航母舰军事1156691']"
15,254,孩子|家长|父母|学习,"['孩子', '家长', '父母', '学习', '培养', '教育', '成长', '老师', '焦虑', '作业']","['不舍孩子离开的父母','致家长你的努力,同孩子一样重要','父母要多陪伴孩子,而不是陪着孩子.']"
16,249,好吃|做法|口感|美味,"['好吃', '做法', '口感', '美味', '味道', '入味', '简单', '大厨', '下饭', '鲜香']","['教你家常蚕豆的吃法,简单炒一炒,鲜香入味,好吃营养又','午餐这样做,营养美味还下饭,做法超级简单,家人都爱吃','饭店大厨教你一招,操作简单,好吃又入味']"
17,240,妻子|儿子|婆婆|女子,"['妻子', '儿子', '婆婆', '女子', '小伙', '丈夫', '离婚', '老人', '女儿', '母亲']","['母亲与亲生儿子怀孕图片','90后夫妻结婚未半年生下儿子妻子生完就申请离婚','丈夫处处防着妻子还总造谣妻子偷东西打骂妻子妻子气坏了']"
18,234,植物|种植|土壤|生长,"['植物', '种植', '土壤', '生长', '开花', '叶片', '叶子', '耐寒', '扦插', '栽种']","['日照不足会导致植株生长缓慢,开花少,甚至于不开花.','种植的土壤也要选择透气排水性比较好的土壤,使虎皮兰有一个较好的','植物种子,蔬菜,水果以及土壤4.']"
19,228,演员|节目|饰演|角色,"['演员', '节目', '饰演', '角色', '出演', '这部', '观众', '剧组', '影片', '演技']","['只有在四组演员中试戏表现最优异的一对才能得到出演这期剧本的男女','其实像这样为了角色而牺牲自己形象的演员很多,他们真的很敬业,为','虽然当时人名出演的时候只是一个群众演员,但是第一次接触演员拍戏']"
20,223,放入|倒入|加入|适量,"['放入', '倒入', '加入', '适量', '搅拌', '切成', '捞出', '干净', '备用', '洗净']","['大米淘洗干净放入锅中,放入红薯丝,加入清水至一杯米的刻度2.','1将肉用清水清洗干净,然后切成薄片,剁成肉泥,放入盆中备用.','2锅内倒入适量水,加入所有调料,下所有食材煮熟即可.']"
21,223,美国|阿富汗|俄罗斯|中方,"['美国', '阿富汗', '俄罗斯', '中方', '北约', '安倍', '美军', '日本', '外交', '特朗普']","['美国欲打开世界大战中国已经崛起俄罗斯会站中国抵挡美国吗','据悉,目前美国政府已经有人表示,由于美国撤兵阿富汗事态发展迅速','当天,王毅外长也与阿富汗外长举行会晤,中方再次重申愿意帮助阿富汗']"
22,217,华为|手机|小米|苹果,"['华为', '手机', '小米', '苹果', '评测', '耳机', '上手', '英寸', '蓝牙', '入手']","['lgq70手机拆解曝光ai拍照性能堪比苹果华为旗舰机','新机华为可拆卸屏幕手机iphone超小屏版本小米mix4','小米苹果华为手机生活防水新旗舰款蓝基本功能磁吸充电生活防水标配']"
23,217,春风|相思|多情|人间,"['春风', '相思', '多情', '人间', '流年', '红尘', '天涯', '未必', '流水', '浅画']","['诗词有感柳絮飞时千万缕恰似人间游子行','念一件事,折一枝梅,依山傍水旁,小桥流水边,大美无言','念一件事,折一枝梅,依山傍水旁,小桥流水边,大美无言']"
24,197,有限|公司|科技|股份,"['有限', '公司', '科技', '股份', '招聘', '董事长', '深圳市', '集团', '信息', '电子']","['九人名农业生态有限公司','阳光保险集团股份有限公司董事长人名做医院也要有','阿里巴巴网络有限公司,上海汽车集团有限公司,斑马信息科技有限公司']"
25,188,听到|异母|同父|公子,"['听到', '异母', '同父', '公子', '自己', '一直', '得知', '知道', '没法', '为了']","['其实,武松在路途上本来不打算惹是生非的,可是听到荒山野岭之中的','素人家庭认亲明星弟弟,只因血浓于水成龙的两个同父异母的哥哥在农村','乐嫣听到了皓都的可怕命令,毅然决然决定报信,明明那么害怕,却一直']"
26,184,净利润|同比|股东|上半年,"['净利润', '同比', '股东', '上半年', '股份', '控股', '上市', '净利', '持股', '创业板']","['近期,南国置业公告称,上半年归属上市公司股东的净利润预计亏损3','图解中报欣天科技2021上半年归母净利润为459万元同比下降73','图解中报微光股份2021上半年归母净利润同比增长71约为1亿元']"
27,179,攻略|游记|自由行|旅行,"['攻略', '游记', '自由行', '旅行', '6日', '旅游', '跟团游', '5晚', '携程', '泰国']","['乔豆豆宅炎炎游泰国曼谷游记攻略携程攻略','人生必到的旅行春节越南游记旅游攻略自助游攻略','泰国曼谷芭提雅6日5晚跟团游3晚国际五星酒店全程']"
28,178,星座|生肖|运势|财运,"['星座', '生肖', '运势', '财运', '十二', '贵人', '姻缘', '白羊座', '事业', '横财']","['2021年1月15日十二生肖运势及出生宝宝命理分析','一周运势十二星座每周运势7.117.17','星座星座命理星座']"
29,176,地铁|高速|高铁|列车,"['地铁', '高速', '高铁', '列车', '线路', '铁路', '公交', '交通', '开通', '公路']","['机场高速公路','成都地铁3号线线路说明','沈阳地铁3号线开工.通车时间为']"
30,173,厂家|供应|直销|设备,"['厂家', '供应', '直销', '设备', '不锈钢', '自动', '钢管', '小型', '机械', '焊机']","['厂家直销定制室外码头吊机5t聚业机械热卖无锡港口码头起重机','专业振列机广东厂家定制零件振动排列设备五金小零件自动排列机','奥太铝焊机奥太氩弧焊机双脉冲铝焊机自动送丝铝焊机厂家直销.']"
31,166,大家|小编|留言|今天,"['大家', '小编', '留言', '今天', '看看', '下面', '喜欢', '各位', '一下', '欢迎']","['欢迎评论区留言,需要报告全文请私信小编获取.','接下来小编将为大家分享抖音运营的相关内容,希望能为大家解惑.','所以今天在这里小编就带领大家一起来了解中秋养生知识,来帮助大家']"
32,157,精装|看房|别墅|户型,"['精装', '看房', '别墅', '户型', '随时', '南北', '拎包', '入住', '采光', '出售']","['海门政府旁保利云禧花园电梯洋房精装拎包入住致电','出租星光家园二期2室2厅1卫,精装,拎包入住2800元','近上师大钦州南路康乐小区精装全配南北两房看房方便随时拎包入住整']"
33,155,智能|研发|领域|行业,"['智能', '研发', '领域', '行业', '技术', '物联网', '制造', '未来', '可穿戴', '工业']","['智能家居智能手机,平板智能终端可穿戴设备全自动设备4.','凭借丰富的行业经验,创新的智能技术产品和卓越的数据运营与服务能力','同时华为致力于构建全场景体验,在智能手机,可穿戴设备,智能家居等']"
34,150,玩家|技能|游戏|攻击,"['玩家', '技能', '游戏', '攻击', '武器', '皮肤', '战斗', '英雄', '玩法', '伤害']","['起来珊使用的是魔法攻击,约翰则善于利用各种武器给敌人造成物理伤害','不难发现这两位玩家已经加好友有一段时间了,两位玩家都再相互争夺榜','技能效果可以提升真驭剑士的基础攻击与转职后技能的攻击力,并为']"
35,144,装修|效果|风格|设计,"['装修', '效果', '风格', '设计', '中式', '案例', '现代', '简约', '平米', '别墅']","['现代欧式风格别墅装修设计实景','现代美式别墅客厅餐厅装修效果图欣赏土巴兔装修效果','现代设计风格别墅室内装修效果图']"
36,142,猫咪|狗狗|主人|猴子,"['猫咪', '狗狗', '主人', '猴子', '可爱', '它们', '金毛', '母猫', '领养', '做饭']","['狗狗吃水果','金毛与猫咪为了争吃的,结果气得差点把猫咪一起吃掉','其中讲到狗狗感知情绪以及对主人的一些反应,看到狗狗帮助自闭症患者']"
